iter	Passed	Remaining
273	2683	7109
274	2691	7095
275	2698	7079
276	2707	7066
277	2714	7050
278	2722	7036
279	2731	7025
280	2739	7010
281	2748	6999
282	2756	6984
283	2766	6973
284	2775	6963
285	2785	6953
286	2794	6942
287	2803	6931
288	2813	6920
289	2822	6910
290	2831	6899
291	2840	6888
292	2850	6878
293	2858	6865
294	2869	6858
295	2879	6847
296	2888	6836
297	2896	6823
298	2905	6812
299	2914	6800
300	2922	6786
301	2930	6773
302	2938	6760
303	2946	6746
304	2955	6734
305	2963	6720
306	2971	6708
307	2980	6696
308	2988	6683
309	2996	6669
310	3005	6658
311	3015	6648
312	3022	6634
313	3030	6620
314	3038	6607
315	3047	6596
316	3056	6585
317	3067	6578
318	3076	6566
319	3085	6556
320	3094	6546
321	3104	6535
322	3112	6523
323	3121	6512
324	3130	6502
325	3140	6493
326	3153	6489
327	3165	6485
328	3178	6483
329	3190	6477
330	3201	6469
331	3211	6461
332	3221	6452
333	3231	6443
334	3241	6434
335	3249	6422
336	3257	6409
337	3267	6399
338	3275	6387
339	3284	6376
340	3292	6362
341	3313	6375
342	3330	6379
343	3340	6369
344	3352	6365
345	3363	6357
346	3373	6348
347	3382	6336
348	3391	6325
349	3399	6312
350	3407	6300
351	3415	6287
352	3423	6274
353	3431	6261
354	3439	6249
355	3447	6236
356	3456	6224
357	3464	6213
358	3473	6201
359	3481	6189
360	3489	6176
361	3498	6165
362	3506	6153
363	3515	6142
364	3523	6129
365	3531	6117
366	3539	6105
367	3547	6092
368	3555	6080
369	3565	6070
370	3574	6059
371	3582	6048
372	3590	6036
373	3599	6024
374	3607	6013
375	3615	6000
376	3624	5989
377	3632	5978
378	3641	5966
379	3649	5954
380	3658	5943
381	3666	5931
382	3674	5920
383	3682	5908
384	3691	5897
385	3699	5885
386	3708	5873
387	3717	5863
388	3725	5852
389	3734	5841
390	3742	5829
391	3752	5819
392	3761	5809
393	3770	5799
394	3779	5788
395	3788	5778
396	3797	5767
397	3805	5756
398	3814	5745
399	3822	5733
400	3831	5722
401	3840	5713
402	3853	5709
403	3863	5699
404	3871	5687
405	3881	5679
406	3891	5669
407	3903	5663
408	3915	5657
409	3925	5649
410	3934	5638
411	3943	5628
412	3953	5619
413	3964	5611
414	3973	5600
415	3982	5590
416	3991	5579
417	4000	5570
418	4009	5559
419	4018	5549
420	4027	5538
421	4036	5528
422	4045	5518
423	4055	5509
424	4064	5499
425	4073	5488
426	4083	5479
427	4092	5469
428	4101	5458
429	4111	5450
430	4121	5441
431	4129	5430
432	4139	5420
433	4148	5409
434	4158	5400
435	4167	5390
436	4177	5382
437	4188	5374
438	4198	5364
439	4208	5355
440	4217	5345
441	4227	5337
442	4245	5337
443	4257	5331
444	4267	5322
445	4279	5316
446	4290	5307
447	4298	5296
448	4308	5287
449	4317	5277
450	4327	5267
451	4338	5259
452	4347	5249
453	4356	5239
454	4367	5231
455	4376	5220
456	4384	5210
457	4394	5200
458	4403	5190
459	4412	5179
460	4421	5169
461	4430	5159
462	4439	5148
463	4449	5139
464	4458	5129
465	4467	5119
466	4477	5110
467	4486	5100
468	4495	5089
469	4505	5081
470	4516	5072
471	4524	5061
472	4534	5052
473	4545	5043
474	4554	5033
475	4564	5024
476	4573	5014
477	4582	5004
478	4592	4994
479	4602	4985
480	4615	4979
481	4626	4972
482	4635	4961
483	4644	4951
484	4652	4940
485	4661	4930
486	4670	4919
487	4679	4909
488	4688	4899
489	4696	4888
490	4707	4879
491	4716	4869
492	4725	4859
493	4734	4849
494	4743	4839
495	4754	4831
496	4765	4822
497	4779	4817
498	4790	4809
499	4799	4799
500	4809	4790
501	4819	4781
502	4830	4772
503	4839	4762
504	4850	4754
505	4860	4744
506	4868	4734
507	4877	4724
508	4887	4714
509	4896	4704
510	4906	4695
511	4916	4685
512	4924	4675
513	4935	4666
514	4944	4656
515	4953	4646
516	4962	4636
517	4973	4627
518	4982	4617
519	4991	4607
520	5000	4597
521	5011	4588
522	5020	4578
523	5029	4568
524	5038	4558
525	5047	4548
526	5056	4538
527	5067	4529
528	5076	4520
529	5086	4511
530	5095	4500
531	5105	4491
532	5114	4481
533	5124	4472
534	5134	4462
535	5147	4456
536	5161	4450
537	5179	4447
538	5189	4438
539	5199	4429
540	5208	4419
541	5219	4410
542	5229	4401
543	5246	4397
544	5257	4389
545	5266	4379
546	5276	4369
547	5287	4361
548	5299	4353
549	5313	4347
550	5325	4339
551	5337	4331
552	5349	4323
553	5360	4315
554	5371	4307
555	5382	4297
556	5394	4290
557	5414	4289
558	5425	4280
559	5442	4276
560	5451	4265
561	5460	4256
562	5470	4246
563	5479	4236
564	5493	4229
565	5508	4223
566	5519	4215
567	5533	4208
568	5549	4203
569	5565	4198
570	5580	4192
571	5589	4182
572	5599	4172
573	5609	4163
574	5618	4153
575	5628	4143
576	5642	4136
577	5653	4127
578	5663	4117
579	5676	4110
580	5693	4106
581	5711	4102
582	5724	4094
583	5736	4086
584	5745	4076
585	5753	4064
586	5764	4055
587	5772	4044
588	5780	4033
589	5790	4023
590	5799	4013
591	5808	4003
592	5817	3992
593	5826	3982
594	5835	3972
595	5844	3961
596	5851	3950
597	5861	3940
598	5869	3929
599	5877	3918
600	5886	3907
601	5895	3897
602	5904	3887
603	5913	3877
604	5921	3866
605	5929	3855
606	5938	3845
607	5946	3834
608	5956	3824
609	5965	3813
610	5974	3803
611	5983	3793
612	5991	3782
613	6000	3772
614	6009	3761
615	6018	3751
616	6026	3741
617	6035	3730
618	6044	3720
619	6053	3709
620	6061	3699
621	6071	3689
622	6081	3680
623	6093	3671
624	6109	3665
625	6129	3661
626	6151	3659
627	6168	3654
628	6186	3648
629	6206	3644
630	6225	3640
631	6234	3630
632	6244	3620
633	6253	3609
634	6261	3598
635	6270	3588
636	6280	3578
637	6288	3568
638	6297	3557
639	6306	3547
640	6315	3537
641	6326	3527
642	6335	3517
643	6344	3507
644	6355	3497
645	6365	3488
646	6374	3478
647	6383	3467
648	6393	3457
649	6403	3447
650	6412	3437
651	6421	3427
652	6430	3417
653	6439	3406
654	6449	3397
655	6458	3386
656	6467	3376
657	6477	3366
658	6486	3356
659	6495	3346
660	6505	3336
661	6515	3326
662	6523	3316
663	6532	3305
664	6540	3295
665	6549	3284
666	6559	3274
667	6569	3265
668	6578	3254
669	6587	3244
670	6597	3234
671	6605	3224
672	6614	3213
673	6624	3204
674	6633	3194
675	6642	3183
676	6652	3173
677	6662	3164
678	6671	3154
679	6681	3144
680	6691	3134
681	6701	3124
682	6710	3114
683	6720	3104
684	6729	3094
685	6739	3084
686	6748	3074
687	6757	3064
688	6767	3054
689	6776	3044
690	6786	3034
691	6796	3024
692	6805	3014
693	6816	3005
694	6828	2996
695	6838	2986
696	6849	2977
697	6858	2967
698	6869	2957
699	6879	2948
700	6889	2938
701	6898	2928
702	6908	2918
703	6918	2908
704	6928	2899
705	6939	2889
706	6949	2880
707	6959	2870
708	6969	2860
709	6979	2850
710	6989	2841
711	7000	2831
712	7009	2821
713	7018	2811
714	7027	2801
715	7037	2791
716	7048	2782
717	7058	2772
718	7069	2763
719	7079	2753
720	7088	2742
721	7098	2733
722	7109	2723
723	7118	2713
724	7127	2703
725	7137	2693
726	7146	2683
727	7156	2673
728	7166	2663
729	7175	2653
730	7184	2643
731	7194	2633
732	7204	2624
733	7214	2614
734	7224	2604
735	7233	2594
736	7242	2584
737	7251	2574
738	7260	2564
739	7270	2554
740	7279	2544
741	7288	2534
742	7298	2524
743	7309	2514
744	7318	2505
745	7329	2495
746	7337	2485
747	7346	2475
748	7355	2465
749	7366	2455
750	7376	2445
751	7385	2435
752	7394	2425
753	7404	2415
754	7413	2405
755	7423	2396
756	7433	2386
757	7443	2376
758	7453	2366
759	7462	2356
760	7472	2346
761	7481	2336
762	7490	2326
763	7499	2316
764	7508	2306
765	7517	2296
766	7528	2286
767	7537	2276
768	7547	2267
769	7556	2257
770	7565	2247
771	7575	2237
772	7584	2227
773	7593	2217
774	7603	2207
775	7612	2197
776	7620	2187
777	7629	2177
778	7638	2167
779	7649	2157
780	7659	2147
781	7668	2137
782	7677	2127
783	7686	2117
784	7695	2107
785	7706	2098
786	7714	2087
787	7723	2077
788	7732	2067
789	7742	2058
790	7752	2048
791	7762	2038
792	7771	2028
793	7780	2018
794	7789	2008
795	7798	1998
796	7808	1988
797	7816	1978
798	7826	1968
799	7836	1959
800	7845	1949
801	7853	1939
802	7863	1929
803	7872	1919
804	7883	1909
805	7894	1900
806	7904	1890
807	7914	1880
808	7923	1870
809	7932	1860
810	7942	1850
811	7952	1841
812	7961	1831
813	7969	1821
814	7980	1811
815	7989	1801
816	7997	1791
817	8006	1781
818	8014	1771
819	8024	1761
820	8034	1751
821	8043	1741
822	8052	1731
823	8061	1721
824	8071	1712
825	8079	1702
826	8089	1692
827	8099	1682
828	8108	1672
829	8117	1662
830	8126	1652
831	8136	1643
832	8145	1633
833	8155	1623
834	8164	1613
835	8173	1603
836	8182	1593
837	8191	1583
838	8201	1573
839	8210	1563
840	8219	1553
841	8228	1543
842	8236	1534
843	8245	1524
844	8255	1514
845	8265	1504
846	8275	1494
847	8284	1484
848	8293	1475
849	8304	1465
850	8313	1455
851	8322	1445
852	8331	1435
853	8340	1425
854	8349	1416
855	8359	1406
856	8369	1396
857	8379	1386
858	8388	1376
859	8398	1367
860	8407	1357
861	8416	1347
862	8425	1337
863	8433	1327
864	8444	1317
865	8454	1308
866	8464	1298
867	8472	1288
868	8482	1278
869	8490	1268
870	8499	1258
871	8509	1249
872	8518	1239
873	8528	1229
874	8536	1219
875	8546	1209
876	8556	1200
877	8565	1190
878	8574	1180
879	8584	1170
880	8594	1160
881	8603	1151
882	8613	1141
883	8623	1131
884	8630	1121
885	8640	1111
886	8649	1101
887	8658	1092
888	8666	1082
889	8675	1072
890	8684	1062
891	8694	1052
892	8703	1042
893	8712	1033
894	8722	1023
895	8732	1013
896	8741	1003
897	8752	994
898	8761	984
899	8772	974
900	8781	964
901	8790	955
902	8799	945
903	8808	935
904	8817	925
905	8826	915
906	8837	906
907	8846	896
908	8856	886
909	8866	876
910	8876	867
911	8886	857
912	8896	847
913	8905	837
914	8915	828
915	8924	818
916	8934	808
917	8942	798
918	8952	789
919	8963	779
920	8974	769
921	8984	760
922	8994	750
923	9003	740
924	9012	730
925	9021	720
926	9031	711
927	9041	701
928	9050	691
929	9060	681
930	9071	672
931	9080	662
932	9089	652
933	9099	643
934	9109	633
935	9118	623
936	9127	613
937	9138	604
938	9147	594
939	9155	584
940	9164	574
941	9173	564
942	9183	555
943	9193	545
944	9202	535
945	9212	525
946	9222	516
947	9233	506
948	9243	496
949	9253	487
950	9262	477
951	9271	467
952	9279	457
953	9290	447
954	9300	438
955	9310	428
956	9319	418
957	9328	408
958	9337	399
959	9347	389
960	9356	379
961	9365	369
962	9375	360
963	9384	350
964	9394	340
965	9403	330
966	9412	321
967	9422	311
968	9431	301
969	9441	292
970	9451	282
971	9461	272
972	9472	262
973	9481	253
974	9491	243
975	9501	233
976	9511	223
977	9522	214
978	9531	204
979	9542	194
980	9552	185
981	9561	175
982	9571	165
983	9580	155
984	9589	146
985	9600	136
986	9612	126
987	9626	116
988	9635	107
989	9645	97
990	9653	87
991	9662	77
992	9672	68
993	9682	58
994	9692	48
995	9701	38
996	9710	29
997	9720	19
998	9729	9
999	9738	0
