iter	MultiClass
241	0.6500668347
242	0.6499045124
243	0.6494167677
244	0.6489082468
245	0.6484425194
246	0.6483224097
247	0.6480220995
248	0.6477211482
249	0.6473154447
250	0.6468966494
251	0.6466480614
252	0.6462699154
253	0.645924454
254	0.6454551448
255	0.6452396584
256	0.6450707514
257	0.6449004014
258	0.6445227699
259	0.6439467549
260	0.6437318493
261	0.6433836546
262	0.6431969182
263	0.6430807527
264	0.6430436069
265	0.6429843044
266	0.6427052598
267	0.6421411024
268	0.6416441489
269	0.6413625337
270	0.6411773817
271	0.6409126742
272	0.6405084354
273	0.6403318433
274	0.6400544774
275	0.6397826478
276	0.6395609139
277	0.6395275076
278	0.6392361991
279	0.638709336
280	0.6385818681
281	0.6384986813
282	0.6384693177
283	0.6381736232
284	0.6379608978
285	0.6378484531
286	0.6375825174
287	0.6372533969
288	0.6366737215
289	0.6363871649
290	0.6363151357
291	0.636228993
292	0.636050313
293	0.6357627501
294	0.6353264767
295	0.6347397712
296	0.6345575075
297	0.6343437448
298	0.6340986794
299	0.6337435282
300	0.633619112
301	0.6334919623
302	0.6332795161
303	0.6331699525
304	0.6330197214
305	0.6328851197
306	0.6325610258
307	0.6323020488
308	0.6321855683
309	0.6319466634
310	0.6314557286
311	0.630847797
312	0.6306818221
313	0.6305811156
314	0.6303679888
315	0.6300083383
316	0.6297645276
317	0.6294241593
318	0.6293430501
319	0.6291359464
320	0.6288269113
321	0.6282999781
322	0.6281856434
323	0.6279679779
324	0.6277599769
325	0.6276822014
326	0.6275503706
327	0.627413118
328	0.6272148918
329	0.6269124825
330	0.6267799623
331	0.6264412159
332	0.6263603493
333	0.6261083174
334	0.6257978256
335	0.6256879984
336	0.6255254553
337	0.6253443374
338	0.6251706851
339	0.6249362476
340	0.6248175144
341	0.6246106787
342	0.6243565419
343	0.6242987589
344	0.6240734139
345	0.6239409656
346	0.6235841013
347	0.6233550796
348	0.6230556308
349	0.6229818485
350	0.6229299375
351	0.6228370693
352	0.6227712863
353	0.622629589
354	0.6224441201
355	0.6223500455
356	0.6222950811
357	0.6220990707
358	0.6219561976
359	0.6216125106
360	0.6214565226
361	0.6211107188
362	0.6208316228
363	0.6205985475
364	0.6205148804
365	0.6204682218
366	0.6203065875
367	0.6201503508
368	0.6201092757
369	0.6199727843
370	0.619651798
371	0.6195024219
372	0.6194498189
373	0.6193808217
374	0.6193232302
375	0.6192364438
376	0.6187688966
377	0.6184530378
378	0.6182458473
379	0.6180658371
380	0.617850112
381	0.6176004089
382	0.6174148578
383	0.6171763057
384	0.6170959425
385	0.6170428985
386	0.6168583103
387	0.6166434827
388	0.6161244494
389	0.615899087
390	0.6156202117
391	0.6151874733
392	0.6149580961
393	0.6147478963
394	0.6146301986
395	0.6142997353
396	0.6141987781
397	0.6141197543
398	0.6140418816
399	0.6137729949
400	0.6136370396
401	0.6135537895
402	0.6131951353
403	0.612856185
404	0.612654148
405	0.6123588917
406	0.6120583394
407	0.6118592255
408	0.6117782204
409	0.6114918822
410	0.6113882663
411	0.6112983142
412	0.6109390191
413	0.6107499634
414	0.6107090366
415	0.6106057072
416	0.6104325984
417	0.6102971537
418	0.6101979192
419	0.6101297414
420	0.6099947533
421	0.6098225067
422	0.6096926724
423	0.6094873667
424	0.6092176532
425	0.609177248
426	0.609104529
427	0.6090625371
428	0.6088078278
429	0.6083190886
430	0.608123105
431	0.6079931307
432	0.6077720739
433	0.6076256982
434	0.6074932827
435	0.6073542471
436	0.6072244801
437	0.6070420942
438	0.6067623015
439	0.606584171
440	0.6064896395
441	0.6063208999
442	0.6061419586
443	0.6059018691
444	0.6057658782
445	0.6056508333
446	0.6055177283
447	0.6054394543
448	0.605217779
449	0.605065049
450	0.6046354996
451	0.6041684793
452	0.6040948314
453	0.603821268
454	0.6035056171
455	0.6032553194
456	0.6031490157
457	0.602868784
458	0.6026433032
459	0.6023926394
460	0.6023353721
461	0.602218363
462	0.6020645263
463	0.6018467157
464	0.6017755795
465	0.6014312104
466	0.6012858604
467	0.6011272566
468	0.6008907428
469	0.6004828485
470	0.6002969691
471	0.6001628522
472	0.599883882
473	0.5996486845
474	0.5994176849
475	0.599383902
476	0.5993422339
477	0.5992745544
478	0.5991292586
479	0.5989492427
480	0.5988379607
481	0.598718489
482	0.5985693644
483	0.5985380288
484	0.5985068006
485	0.5983229796
486	0.5982918367
487	0.5982107666
